Attaching to vllm-autoheal, vllm-chat, vllm-embed
vllm-chat  | (APIServer pid=1) INFO:     172.24.0.5:37200 - "GET /metrics HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO 06-14 01:35:02 [loggers.py:271] Engine 000: Avg prompt throughput: 214.4 tokens/s, Avg generation throughput: 59.6 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 26.7%, Prefix cache hit rate: 0.0%
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52876 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.5:47748 - "GET /metrics HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52876 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52876 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52876 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     127.0.0.1:50382 - "GET /health HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     127.0.0.1:50398 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.5:40344 - "GET /metrics HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52860 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52860 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO 06-14 01:35:12 [loggers.py:271] Engine 000: Avg prompt throughput: 59.9 tokens/s, Avg generation throughput: 54.5 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 26.7%, Prefix cache hit rate: 0.0%
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:44698 - "GET /v1/models HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     127.0.0.1:44814 - "GET /health HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.5:41604 - "GET /metrics HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:34408 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52860 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52860 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52860 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36436 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO 06-14 01:35:22 [loggers.py:271] Engine 000: Avg prompt throughput: 86.5 tokens/s, Avg generation throughput: 53.2 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 28.3%, Prefix cache hit rate: 0.0%
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.5:34638 - "GET /metrics HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:34422 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36426 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52876 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO 06-14 01:35:32 [loggers.py:271] Engine 000: Avg prompt throughput: 55.7 tokens/s, Avg generation throughput: 52.0 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 26.7%, Prefix cache hit rate: 0.0%
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.5:48464 - "GET /metrics HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:34384 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52876 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52876 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52876 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.5:42160 - "GET /metrics HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36426 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO 06-14 01:35:42 [loggers.py:271] Engine 000: Avg prompt throughput: 358.2 tokens/s, Avg generation throughput: 54.1 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 28.3%, Prefix cache hit rate: 0.0%
vllm-embed  | (APIServer pid=1) INFO:     127.0.0.1:48710 - "GET /health HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.1:34374 - "GET /v1/models HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:51074 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36436 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.5:45160 - "GET /metrics HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36426 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36426 - "GET /v1/models HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:51074 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO 06-14 01:35:52 [loggers.py:271] Engine 000: Avg prompt throughput: 321.9 tokens/s, Avg generation throughput: 53.6 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 26.7%, Prefix cache hit rate: 0.0%
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.5:48816 - "GET /metrics HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52860 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:37772 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52876 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO 06-14 01:36:02 [loggers.py:271] Engine 000: Avg prompt throughput: 72.4 tokens/s, Avg generation throughput: 49.2 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 28.3%, Prefix cache hit rate: 0.0%
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.5:34738 - "GET /metrics HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     127.0.0.1:50736 - "GET /health HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     127.0.0.1:50738 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.5:44798 - "GET /metrics HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52876 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52876 - "GET /v1/models HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:54350 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO 06-14 01:36:12 [loggers.py:271] Engine 000: Avg prompt throughput: 14.2 tokens/s, Avg generation throughput: 39.5 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 28.3%, Prefix cache hit rate: 0.0%
vllm-embed  | (APIServer pid=1) INFO:     127.0.0.1:55398 - "GET /health HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52876 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52876 - "GET /v1/models HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.5:55836 - "GET /metrics HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36426 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:57074 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO 06-14 01:36:22 [loggers.py:271] Engine 000: Avg prompt throughput: 85.8 tokens/s, Avg generation throughput: 34.0 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 26.7%, Prefix cache hit rate: 0.0%
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.5:56294 - "GET /metrics HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:47188 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52860 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52860 - "GET /v1/models HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:47190 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52876 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO 06-14 01:36:32 [loggers.py:271] Engine 000: Avg prompt throughput: 80.9 tokens/s, Avg generation throughput: 56.8 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 26.7%, Prefix cache hit rate: 0.0%
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.5:59084 - "GET /metrics HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.5:56820 - "GET /metrics HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36426 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36426 - "GET /v1/models HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:34456 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO 06-14 01:36:42 [loggers.py:271] Engine 000: Avg prompt throughput: 29.7 tokens/s, Avg generation throughput: 59.4 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 26.7%, Prefix cache hit rate: 0.0%
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36436 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     127.0.0.1:40106 - "GET /health HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.5:33036 - "GET /metrics HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52860 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52860 - "GET /v1/models HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:33878 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO 06-14 01:36:52 [loggers.py:271] Engine 000: Avg prompt throughput: 55.7 tokens/s, Avg generation throughput: 58.4 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 26.7%, Prefix cache hit rate: 0.0%
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.5:50300 - "GET /metrics HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52876 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:46086 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52860 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52860 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52860 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52860 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36426 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36426 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36426 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO 06-14 01:37:02 [loggers.py:271] Engine 000: Avg prompt throughput: 431.5 tokens/s, Avg generation throughput: 56.8 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 26.7%, Prefix cache hit rate: 0.0%
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.5:34202 - "GET /metrics HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:46086 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36436 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36436 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     127.0.0.1:33064 - "GET /health HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     127.0.0.1:33076 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.5:33978 - "GET /metrics HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52876 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52876 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO 06-14 01:37:12 [loggers.py:271] Engine 000: Avg prompt throughput: 65.4 tokens/s, Avg generation throughput: 59.7 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 28.3%, Prefix cache hit rate: 0.0%
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.1:47742 - "GET /v1/models HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:57228 - "GET /v1/models HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:57228 - "GET /v1/models HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     127.0.0.1:34190 - "GET /health HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.5:60606 - "GET /metrics HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:57228 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52860 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36426 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36426 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO 06-14 01:37:22 [loggers.py:271] Engine 000: Avg prompt throughput: 26.2 tokens/s, Avg generation throughput: 62.2 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 20.0%, Prefix cache hit rate: 0.0%
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.5:51260 - "GET /metrics HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52876 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36436 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36436 - "GET /v1/models HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:37292 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36426 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36426 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36426 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO 06-14 01:37:32 [loggers.py:271] Engine 000: Avg prompt throughput: 158.5 tokens/s, Avg generation throughput: 59.0 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 26.7%, Prefix cache hit rate: 0.0%
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.5:41582 - "GET /metrics HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:37308 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52876 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52860 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52860 - "GET /v1/models HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:37308 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.5:38900 - "GET /metrics HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36436 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO 06-14 01:37:42 [loggers.py:271] Engine 000: Avg prompt throughput: 363.0 tokens/s, Avg generation throughput: 60.5 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 28.3%, Prefix cache hit rate: 0.0%
vllm-embed  | (APIServer pid=1) INFO:     127.0.0.1:43596 - "GET /health HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52860 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:59338 - "GET /v1/models HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.5:59748 - "GET /metrics HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36436 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36436 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36436 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36436 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36426 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52876 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO 06-14 01:37:52 [loggers.py:271] Engine 000: Avg prompt throughput: 459.7 tokens/s, Avg generation throughput: 57.6 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 26.7%, Prefix cache hit rate: 0.0%
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.5:48302 - "GET /metrics HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52860 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:42514 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO 06-14 01:38:02 [loggers.py:271] Engine 000: Avg prompt throughput: 34.5 tokens/s, Avg generation throughput: 57.4 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 26.7%, Prefix cache hit rate: 0.0%
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.5:59596 - "GET /metrics HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     127.0.0.1:60256 - "GET /health HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     127.0.0.1:60272 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:50230 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.5:42150 - "GET /metrics HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36436 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36436 - "GET /v1/models HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:50230 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO 06-14 01:38:12 [loggers.py:271] Engine 000: Avg prompt throughput: 24.2 tokens/s, Avg generation throughput: 57.5 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 30.0%, Prefix cache hit rate: 0.0%
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36436 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36436 - "GET /v1/models HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     127.0.0.1:50692 - "GET /health HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36426 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.5:38978 - "GET /metrics HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52876 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52876 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52860 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:47016 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO 06-14 01:38:22 [loggers.py:271] Engine 000: Avg prompt throughput: 120.1 tokens/s, Avg generation throughput: 58.0 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 26.7%, Prefix cache hit rate: 0.0%
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.5:58672 - "GET /metrics HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:50100 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO 06-14 01:38:32 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 62.8 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 26.7%, Prefix cache hit rate: 0.0%
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.5:41270 - "GET /metrics HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52876 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52876 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36436 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.5:33480 - "GET /metrics HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36426 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52860 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52860 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52860 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52860 - "GET /v1/models HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:57266 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO 06-14 01:38:42 [loggers.py:271] Engine 000: Avg prompt throughput: 291.5 tokens/s, Avg generation throughput: 57.8 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 26.7%, Prefix cache hit rate: 0.0%
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.1:44468 - "GET /v1/models HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:57266 - "GET /v1/models HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     127.0.0.1:45370 - "GET /health HTTP/1.1" 200 OK
